0,All Clear,2010
1,And Then There Were None,1939
2,Beloved,1987
3,Blackout,2010
4,Elmer Gantry,1927
5,Emma,1815
6,Good Omens,1990
7,Jane Eyre,1847
8,Leave it to Psmith,1923
9,Love in the Time of Cholera,1985
10,Main Street,1920
11,Midnight's Children,1981
12,Mirror Dance,1994
13,Moby Dick,1851
14,Murder on the Orient Express,1934
15,Neverwhere,1996
16,Omoo,1847
17,One Hundred Years of Solitude,1967
18,Pride and Prejudice,1813
19,"Right Ho, Jeeves",1934
20,Sense and Sensibility,1813
21,Shards of Honor,1986
22,Sula,1973
23,The Code of the Woosters,1938
24,Midnight's Children,1981
25,The Tenant of Wildfell Hall,1848
26,Thief of Time,1996
27,To Say Nothing of the Dog,1997
28,Villette,1853
29,Wuthering Heights,1847
30,1Q84,2009
31,A Wild Sheep Chase,1982
32,Hard-Boiled Wonderland and the End of the World,1985
33,My Ántonia,1918
34,O Pioneers!,1913
35,The Power,2016
36,Rebecca,1938
37,The Fifth Season,2015
38,The Obelisk Gate,2015
39,The Stone Sky,2015
40,Three Men in a Boat (to Say Nothing of the Dog),1889
41,Middlemarch,1871
42,Silas Marner,1861
43,Bleak House,1852
44,Great Expectations,1860
45,"Tinker, Tailor, Soldier, Spy",1974
46,The Spy Who Came in From the Cold,1963
